Media;Datumlabel;Begindatum;Materiaal en techniek;Hoogte;Breedte;Diepte;Afmetingenlabel
0;ca.1950-1958;1945;pitriet;30;24;35;30 x 24 x 35cm
2;;1928;triplex met vurenhout en verf;60;8;25.5;60x8x25.5cm
2;1775-1799;1775;eikehout, metaal;10;52;26;H 10 X B 52 X D 26 cm.
6;;0;hout, metaal, beits;19.2;8.5;38.2;L19,2xB8,5xH38,2cm
3;;0;essenhout, verfstof, metaal;63.8;27.5;12;L63,8xB27,5xH12cm
0;;0;vurenhout en verf;56.2;24.8;9.1;56,2x24,8x9,1cm
2;1893;1893;vurehout, verfstof;9;28;47;H 9,0 X B 28 X D 47 cm.
2;;0;beuken, kastanje - of notenhout, metaal, beits;34.6;27.8;10.4;L34,6xB27,8xH10,4cm
2;1800-1899;1800;grenehout, metaal, verfstof;13;44;18;H 13 X B 44 X D 18 cm.
1;1950-1970;1950;leer, textiel, metaal;30;21;4;L30xB21xD4cm
1;1950-1980;1950;leer, metaal, textiel, kleurstof;28;35;4;H 28 X B 35 X D 4,0 cm.
1;ca. 1975;1975;leer, metaal, textiel, kleurstof;32;34;4;H 32 X B 34 X D 4,0 cm.
1;1930-1960;1930;leer, textiel, metaal;4;34;44;H 4,0 X B 34 X D 44 cm.
2;1950-1980;1950;kunststof, hout, papier, metaal;6;22;17;H 6,0 X B 22 X D 17 cm.
2;1950-1980;1950;kunststof, karton, textiel, metaal;9;36;27;H 9,0 X B 36 X D 27 cm.
0;1950-1970;1950;leer, textiel, metaal;35;42;7;H 35 X B 42 X D 7,0 cm.
2;1800-1899;1800;hout, metaal, verfstof;12;50;17;H 12 X B 50 X D 17 cm.
1;1950-1980;1950;hout, metaal, verfstof;13;7;3;H 13 X B 7,0 X D 3,0 cm.
2;1800-1899;1800;hout, metaal, verfstof, gehout;11;53;29;H 11 X B 53 X D 29 cm.
2;1800-1899;1800;hout, metaal, verfstof;10;55;28;H 10 X B 55 X D 28 cm.
1;1800-1899;1800;hout, verfstof, metaal, leer;15;54;29;H 15 X B 54 X D 29 cm.
2;1800-1899;1800;hout, verfstof, metaal;8;25;43;H 8,0 X B 25 X D 43 cm.
1;1800-1899;1800;hout, verfstof, metaal;7;46;23;H 7,0 X B 46 X D 23 cm.
2;1780-1880;1780;eikehout, metaal;10;40;22;H 10 X B 40 X D 22 cm.
2;1800-1899;1800;hout, metaal, papier, verfstof;10;51;28;H 10 X B 51 X D 28 cm.
1;1980-1994;1980;leer, textiel, metaal;50;35;9;H 50 X B 35 X D 9,0 cm.
1;1950-1960;1950;leer, textiel, metaal, kleurstof;40;42;14;H 40 X B 42 X D 14 cm.
2;1981-1987;1981;leer, textiel, metaal;28;43;20;H 28 X B 43 X D 20 cm.
1;1970-1990;1970;kunststof, metaal;30;32;10;H 30 X B 32 X D 10 cm.
1;1950-1970;1950;leer, textiel, metaal;35;42;7;H 35 X B 42 X D 7,0 cm.
1;1985-1994;1985;leer, textiel, metaal;37;44;8;H 37 X B 44 X D 8,0 cm.
1;1960-1970;1960;leer, textiel, metaal;40;45;13;H 40 X B 45 X D 13 cm.
1;1950;1950;leer, textiel, metaal, kleurstof;30;35;7;H 30 X B 35 X D 7,0 cm.
1;1970-1990;1970;leer, textiel, metaal;33;42;14;H 33 X B 42 X D 14 cm.
1;1970-1990;1970;leer, textiel, metaal;35;40;13;H 35 X B 40 X D 13 cm.
1;1978;1978;kunststof, textiel, metaal;40;40;12;H 40 X B 40 X D 12 cm.
1;1965-1975;1965;leer, textiel, metaal;38;42;8;H 38 X B 42 X D 8,0 cm.
1;1950-1970;1950;leer, textiel, metaal;35;40;5;H 35 X B 40 X D 5,0 cm.
1;1950-1960;1950;leer, textiel, metaal;35;44;8;H 35 X B 44 X D 8,0 cm.
1;1950-1970;1950;canvas, kunststof, leer, metaal;34;43;5;H 34 X B 43 X D 5,0 cm.
1;1938;1938;leer, textiel, metaal;35;43;7;H 35 X B 43 X D 7,0 cm.
1;1980-1994;1980;kunststof,  textiel, verfstof;36;41;6;H 36 X B 41 X D 6,0 cm.
1;1938;1938;leer, textiel, metaal;37;47;5;H 37 X B 47 X D 5,0 cm.
1;1965-1975;1965;leer, textiel, metaal;36;43;14;H 36 X B 43 X D 14 cm.
1;1970-1994;1970;leer, metaal;31;40;5;H 31 X B 40 X D 5,0  cm.
1;1928;1928;leer, textiel, metaal;28;38;7;H 28 X B 38 X D 7,0 cm.
1;1950-1970;1950;leer, metaal, textiel;34;43;5;H 34 X B 43 X D 5,0 cm.
1;1970-1975;1970;leer, textiel, metaal;46;42;10;H 46 X B 42 X D 10 cm.
1;1950-1994;1950;leer, textiel, kunststof, metaal;30;42;12;H 30 X B 42  X D 12 cm.
1;1950-1970;1950;canvas, kunststof, leer, metaal;25;35;4;H 25 X B 35 X D 4,0 cm.
1;1960-1970;1960;leer, textiel, metaal;34;40;7;H 34 X B 40 X D 7,0 cm.
1;1960-1990;1960;(kunst-)leer, kunststof, metaal;33;42;6;H 33 X B 42 X D 6,0 cm.
1;1970-1990;1970;kunststof, metaal;34;36;6;H 34 X B 36 X D 6,0 cm.
2;1960-1970;1960;leer, textiel, metaal;30;36;4;H 30 X B 36 X D 4,0 cm.
1;1970-1994;1970;textiel, metaal;30;44;7;H 30 X B 44 X D 7,0 cm.
1;1950-1980;1950;leer, textiel, metaal;40;46;12;H 40 X B 46 X D 12 cm.
1;1980-1994;1980;kunststof, verfstof;34;30;9;H 34 X B 30 X D 9,0 cm.
1;1943;1943;leer, textiel, metaal;34;43;7;H 34 X B 43 X D 7,0 cm.
0;1950-1980;1950;leer, textiel, metaal;46;42;10;H 46 X B 42 X D 10 cm.
1;1970-1990;1970;leer, textiel, metaal;37;46;7;H 37 X B 46 X D 7,0 cm.
1;1970-1994;1970;leer, textiel, metaal;35;43;12;H 35 X B 43 X D 12 cm.
1;1950-1990;1950;leer, textiel;30;46;6;H 30 X B 46 X D 6,0 cm.
1;1970-1990;1970;leer, textiel, metaal;36;46;12;H 36 X B 46 X D 12 cm.
1;1970-1994;1970;leer, metaal, textiel;36;43;12;H 36 X B 43 X D 12 cm.
1;1950-1963;1950;leer, textiel, metaal;40;50;13;H 40 X B 50 X D 13 cm.
1;1970-1994;1970;leer, textiel, metaal;35;45;8;H 35 X B 45  X D 8,0  cm.
1;1950-1980;1950;leer, textiel, metaal;38;44;13;H 38 X B 44 X D 13 cm.
1;1950-1994;1950;leer, metaal, textiel;40;33;15;H 40 X B 33 X D 15cm.
1;1940-1980;1940;leer, textiel, metaal;39;44;9;H 39 X B 44 X D 9,0 cm.
1;1980-1994;1980;leer, textiel, kunststof, metaal;35;36;12;H 35 X B 36  X D 12 cm.
1;1970-1980;1970;leer, textiel, metaal;39;41;12;H 39 X B 41 X D 12 cm.
1;1950-1980;1950;leer, textiel, metaal;30;40;6;H 30 X B 40 X D 6,0 cm.
1;1950-1994;1950;leer, textiel, metaal;34;42;13;H 34 X B 42 X D 13 cm.
1;1950-1960;1950;leer, metaal, textiel;33;42;7;H 33 X B 42 X D 7,0 cm.
1;1960-1990;1960;leer, metaal, textiel;33;40;10;H 33 X B 40 X D 10 cm.
1;1970-1994;1970;leer, metaal, textiel;36;48;10;H 36 X B 48 X D 10 cm.
1;1960-1990;1960;leer, metaal, textiel;40;44;5;H 40 X B 44 X D 5,0 cm.
1;1940-1980;1940;leer, textiel, metaal;30;37;8;H 30 X B 37 X D 8,0 cm.
2;1950-1994;1950;nylon, metaal, kunststof;48;33;12;H 48 X B 33 X D 12 cm.
1;1950-1970;1950;leer, textiel, metaal;42;39;5;H 42 X B 39 X D 5,0 cm.
1;1950-1994;1950;leer, metaal, textiel;32;40;12;H 32 X B 40 X D 12 cm.
1;1965-1985;1965;leer, textiel;36;28;4;H 36 X B 28 X D 4,0 cm.
1;1950-1994;1950;leer, metaal, textiel;35;43;15;H 35 X B 43 X D 15 cm.
1;1950-1994;1950;leer, metaal, textiel;38;42;10;H 38 X B 42 X D 10 cm.
1;28-5-1931;28;leer, metaal, textiel;24;30;4;H 24 X B 30 X D 4,0 cm.
1;1950-1994;1950;leer, metaal, textiel;35;43;10;H 35 X B 43 X D 10 cm.
1;1970-1994;1970;leer, metaal, textiel;36;42;13;H 36 X B 42 X D 13 cm.
1;1970-1994;1970;leer, metaal, textiel;36;42;13;H 36 X B 42 X D 13 cm.
1;1950-1994;1950;textiel, leer, metaal;35;44;6;H 35 X B 44 X D 6,0 cm.
1;1968;1968;leer, textiel, metaal;28;34;8;H 28 X B 34 X D 8,0 cm.
1;1970-1994;1970;leer, metaal, textiel, kunsttsof;28;38;10;H 28 X B 38 X D 10 cm.
1;1970-1994;1970;leer, metaal, textiel;30;42;22;H 30 X B 42 X D 22 cm.
1;1950-1979;1950;leer, metaal, textiel;28;42;18;H 28 X B 42 X D 18 cm.
1;1950-1994;1950;leer, textiel, metaal;32;42;10;H 32 X B 42 X D 10 cm.
1;1980-1990;1980;kunsttsof, kleurstof;35;40;7;H 35 X B 40 X D 7,0 cm.
1;ca. 1957;1957;leer, textiel, metaal;39;42;7;H 39 X B 42 X D 7,0 cm.
1;circa 1958;1958;leer, metaal, textiel;36;42;13;H 36 X B 42 X D 13 cm.
1;1980-1994;1980;textiel, leer, metaal;44;32;8;H 44  X B 32 X D 8,0  cm.
1;circa 1966;1966;leer, verfstof, metaal, textiel;34;32;5;H 34 X B 32 X D 5,0 cm.
2;1959;1959;leer, verfstof, textiel, metaal;36;40;6;H 36 X B 40 X D 6,0 cm.
2;1970-1994;1970;leer, metaal, textiel;34;41;13;H 34 X B 41 X D 13 cm.
1;1950-1994;1950;leer, textiel, metaal;35;40;11;H 35 X B 40 X D 11 cm.
1;1970-1994;1970;leer, metaal, textiel;38;42;15;H 38 X B 42 X D 15 cm.
1;1980-1994;1980;kunststof, textiel, kleurstof;24;31;5.5;H 24 X B 31 X D 5,5 cm.
1;1950-1994;1950;leer, textiel, metaal;32;42;7;H 32 X B 42 X D 7,0 cm.
1;1970-1994;1970;textiel, metaal;32;40;5;H 32 X B 40 X D 5,0 cm.
1;ca. 1975;1975;leer, metaal, textiel, kleurstof;28;32;4;H 28 X B 32 X D 4,0 cm.
1;1910-1940;1910;leer, textiel, metaal;32;42;7;H 32 X B 42 X D 7,0 cm.
1;1960-1980;1960;textiel, metaal;32;37;9;H 32 X B 37 X D 9,0 cm.
1;1950-1959;1950;leer, metaal, textiel;30;38;8;H 30 X B 38 X D 8 cm.
1;1960-1979;1960;leer, metaal, textiel;34;42;14;H 34 X B 42 X D 14cm.
1;1970-1990;1970;leer, textiel, metaal;30;41;12;H 30 X B 41 X D 12 cm.
1;1970-1990;1970;leer, textiel, metaal;37;42;8;H 37 X B 42 X D 8,0 cm.
1;1980-1994;1980;textiel, kunststof, kleurstof, metaal;54;42;10;H 54 X B 42 X D 10 cm.
1;1970-1994;1970;textiel, metaal;33;38;7;H 33 X B 38 X D 7,0 cm.
1;1980-1994;1980;kunststof, metaal;35;32;7;H 35 X B 32 X D 7,0 cm.
1;1980-1994;1980;leer, metaal, textiel;50;43;8;H 50 X B 43 X D 8,0 cm.
1;1960-1980;1960;textiel, metaal;26;29;8;H 26 X B 29 X D 8,0 cm.
1;1970-1980;1970;leer, metaal, textiel;37;42;10;H 37 X B 42 X D 10 cm.
1;1960-1980;1960;textiel;39;27;6;H 39 X B 27 X D 6,0 cm.
1;1970-1980;1970;leer, textiel, metaal;35;43;16;H 35 X B 43 X D 16 cm.
1;1950-1970;1950;leer, textiel, metaal;42;32;8;H 42 X B 32 X D 8,0 cm.
1;1970-1980;1970;leer, textiel, metaal;34;42;13;H 34 X B 42 X D 13 cm.
1;1970-1990;1970;leer, textiel, metaal;32;42;14;H 32 X B 42 X D 14 cm.
1;ca. 1975;1975;leer, metaal, textiel;38;42;11;H 38 X B 42 X D 11 cm.
1;1980-1990;1980;leer, textiel, metaal;40;37;8;H 40 X B 37 X D 8,0 cm.
1;1950-1966;1950;leer, metaal, textiel;5;34;42;H 5,0 X B 34 X D 42 cm.
1;1974-1975;1974;leer, metaal, textiel;10;37;40;H 10 X B 37 X D 40 cm.
1;1950-1994;1950;leer, metaal, textiel;12;35;42;H 12 X B 35 X D 42 cm.
1;1975-1995;1975;kunststof, textiel;24;31;6;H 24 X B 31 X D 6,0 cm.
1;1991;1991;kunststof, kleurstof;48;36;6;H 48 X B 36 X D 6,0 cm.
1;1950-1970;1950;textiel, leer, metaal;33;40;4;H 33 X B 40 X D 4,0 cm..
1;1950-1970;1950;leer, textiel, metaal;34;44;8;H 34 X B 44 X D 8,0 cm.
1;1960-1990;1960;leer, textiel, metaal;32;42;6;H 32 X B 42 X D 6,0 cm.
1;1950-1980;1950;leer, textiel, metaal;33;43;12;H 33 X B 43 X D 12 cm.
1;ca. 1950;1950;leer, metaal, textiel;34;40;14;H 34 X B 40 X D 14 cm.
1;1950-1960;1950;leer, textiel, metaal;30;33;9;H 30 X B 33 X D 9,0 cm.
1;1950-1990;1950;leer, textiel, metaal;33;39;3;H 33 X B 39 X D 3,0 cm.
2;1960-1994;1960;leer, textiel, metaal;34;44;7;H 34 X B 44 X D 7,0 cm.
1;1950-1980;1950;metaal, textiel;50;46;10;H 50 X B 46 X D 10 cm.
1;ca. 1975;1975;leer, metaal, textiel;12;33;33;H 12 X B 33 X D 33 cm.
1;1980-1990;1980;leer, textiel, metaal;37;42;8;H 37 X B 42 X D 8,0 cm.
1;ca. 1950;1950;leer, textiel, metaal;32;42;6;H 32 X B 42 X D 6,0 cm.
1;1950-1970;1950;leer, metaal, textiel, kleurstof;34;32;0.5;H 34 X B 32 X D 0,5 cm.
1;1970-1975;1970;leer, metaal, textiel;36;42;13;H 36 X B 42 X D 13 cm.
1;1950-1970;1950;leer, metaal, textiel;37;42;10;H 37 X B 42 X D 10 cm.
1;ca. 1970;1970;leer, metaal, textiel;31;41;11;H 31 X B 41 X D 11 cm.
1;1980-1994;1980;textiel, kunststof, kleurstof, metaal;54;40;8;H 54 X B 40 X D 8,0 cm.
1;1993;1993;kunststof, metaal;50;39;5;H 50 X B 39 X D 5,0 cm.
1;1970-1980;1970;textiel, kunststof;45;39;4;H 45 X B 39 X D 4,0 cm.
1;1960-1980;1960;leer, textiel, metaal;44;50;16;H 44 X B 50 X D 16 cm.
2;1950-1980;1950;leer, textiel, metaal;34;43;13;H 34 X B 43 X D 13 cm.
2;1950-1975;1950;leer, metaal, textiel;37;38;5;H 37 X B 38 X D 5,0 cm.
1;ca. 1930;1930;leer, textiel, metaal;32;39;4;H 32 X B 39 X D 4,0 cm.
1;ca. 1915;1915;leer, textiel, metaal;34;41;5;H 34 X B 41 X D 5,0 cm.
1;1950-1959;1950;leer, textiel, metaal;34;45;7;H 34 X B 45 X D 7,0 cm.
2;1950-1970;1950;leer, textiel, metaal;37;38;3.5;H 37 X B 38 X D 3,5 cm.
1;1980-1999;1980;linnen, kleurstof;80;38;0.5;H 80 X B 38 X D 0,5 cm.,
1;1980-1999;1980;linnen, kleurstof;70;38;0.5;H 70 X B 38 X D 0,5 cm.
1;1980-1999;1980;linnen, kleurstof;57;37;0.5;H 57 X B 37 X D 0,5 cm.
1;1989;1989;textiel, kunststof, kleurstof;44;46;8;H 44 X B 46 X D 8,0 cm.
1;1950-1960;1950;leer, textiel, metaal;34;40;6;H 34 X B 40 X D 6,0 cm.
1;1980-1999;1980;plastic, kleurstof;45;38;0.5;45 X 38 X 0,5 cm.
1;1960-1975;1960;leer, metaal, textiel, kleurstof;34;36;8;H 34  X B 36 X D 8,0 cm.
1;1960-1980;1960;leer, textiel, metaal;32;42;16;H 32 X B 42 X D 16 cm.
1;ca. 1970;1970;leer, textiel, metaal;30;40;20;H 30 X B 40 X D 20 cm.
1;1970 - 09/1988;0;leer, textiel, metaal;30;44;10;H 30 X B 44 X D 10 cm.
2;1800-1899;1800;vurehout, metaal, verfstof, papier;10;25;55;H 10 X B 25 X D 55 cm.
2;1880 & 1891;1880;grenehout, beits, metaal, touw, verfstof, papier, inkt;8;29;7;ingeklapte toestand: H 8 X B 29 X D 7 cm.
1;ca. 1900;1900;hout;26;20;8;H 26 X B 20 X D 8,0 cm.
2;1800-1899;1800;hout, metaal;8;23;41;H 8,0 X B 23 X D 41 cm.
1;1960-1970;1960;leer, metaal, papier, inkt;40;25;27;H 40 X B 25 X D 27cm.
1;1960-1980;1960;textiel, papier, leer, kunststof, metaal, verfstof;39;28;6;tas: H 38 X B 28 X D 6 cm.
1;1950-1980;1950;;10;15;4;H 10 X B 15 X D 4,0
1;1800-1875;1800;eikehout, metaal;41;21;9;H 41 X B 21 X D 9,0 cm.
1;1881;1881;eikehout, metaal, verfstof;51;28;10;H 51 X B 28 X D 10 cm.
1;1850-1920;1850;hout, metaal, leer, lak;33;25;2;H 33 X B 25 X D 2,0 cm.
1;1987;1987;textiel, kunststof, kleurstof;37;48;7;H 37 X B 48 X D 7,0 cm.
1;1970-1994;1970;textiel, kunststof, metaal;34;29;3;H 34 X B 29 X D 3,0 cm.
1;1970-1994;1970;kunststof,  textiel, metaal;40;34;3;H 40 X B 34 X D 3,0 cm.
1;1970-1994;1970;kunststof, textiel, metaal;42;36;4;H 42 X B 36 X D 4,0 cm.
1;1970-1994;1970;textiel, kleurstof;43;35;1;H 43 X B 35 X D 1,0  cm.
1;1970-1994;1970;textiel, kleurstof;39;38;1;H 39 X B 38 X D 1,0  cm.
1;1940-1943;1940;tuigleer, metaal, textiel;36;42;10;H 36 X B 42 X D 10 cm.
1;1940-1950;1940;leer, metaal, textiel;35;43;9;H 35 X B 43 X D 9,0 cm.
2;1970-1980;1970;leer, metaal, textiel;45;43;7;H 45 X B 43 X D 7,0 cm.
2;1950-1970;1950;leer, metaal, textiel;25;32;4;H 25 X B 32 X D 4,0 cm.
1;ca. 1957;1957;leer, metaal, textiel;33;32;4;H 33 X B 32 X D 4,0 cm.
1;1940-1970;1940;leer, metaal, textiel;34;41;6;H 34 X B 41 X D 6,0 cm.
1;ca. 1977;1977;kunststof, reflector, metaal, kleurstof;28;32;9;H 28 X B 32 X D 9,0 cm.
1;1970-1994;1970;leer, metaal;40;25;5;H 40 X B 25 X D 5,0 cm.
1;1970-1990;1970;leer, metaal, verfstof;20;4;1;H 20 X B 4,0 X D 1,0 cm.
1;1970-1990;1970;leer, kunststof, verfstof;36;4.5;0.5;H 36 X B 4,5 X D 0,5 cm.
1;1970-1990;1970;leer, kunststof, verfstof;38;4.5;0.5;H 38 X B 4,5 X D 0,5 cm.
1;1960-1990;1960;metaal;8;6;2.5;H 8,0 X B 6,0 X D 2,5 cm.
1;1960-1990;1960;metaal;6;6;2.5;H 6,0 X B 6,0 X D 2,5 cm.
1;1960-1990;1960;metaal;5;5;2;H 5,0 X B 5,0 X D 2,0 cm.
1;1960-1990;1960;metaal;6;6;1.5;H 6,0 X B 6,0 X D 1,5 cm.
1;1960-1990;1960;metaal, leer;4.5;2.5;1;H 4,5 X B 2,5 X D 1,0 cm.
1;1930-1990;1930;metaal;6;6;2;H 6,0 X B 6,0 X D 2,0 cm.
1;1970-1999;1970;leer;14;5;0.5;H 14 X B 5,0 X D 0,5 cm.
1;1950-1980;1950;messing;5.5;2;0.5;H 5,5 X B 1,0 X D 0,5 cm.
1;1970-1999;1970;kunststof;8;5;1.5;H 8,0 X B 5,0 X D 1,5 cm.
1;1950-1970;1950;leer, metaal, textiel;41;33;7;H 41 X B 33 X D 7,0 cm.
2;1980-1999;1980;kunststof, kleurstof;44;36;0.5;H 44 X B 36 X D 0,5 cm.
2;1980-1999;1980;kunststof, kleurstof;44;36;0.5;H 44 X B 36 X D 0,5 cm.
1;1980-1999;1980;linnen, kleurstof;55;37;0.5;H 55 X B 37 X D 0,5 cm.
1;1980-1999;1980;linnen, kleurstof;55;37;0.5;H 55 X B 37 X D 0,5 cm.
1;ca 1930;1930;leer, staal, papier;36;26;0;36x26cm
1;;0;leder, staal;42;28;0;42x28cm
4;;0;hout, metaal, beits, lijm;46.5;27;9;L46.5xB27xH9cm
4;;0;hout, metaal, lijm verfstof, beits;46.5;26;9;L46.5xB26xH9
3;;0;;65;33;14.5;L65xB33xH14.5
2;;0;hout, lijm, metaal, houtsnijwerk, beits;41.5;20;7.5;L41.5xB20xH7.5cm
3;;0;eikenhout, metaal, beits;38.5;19.5;7.5;L38.5xB19.5xH7.5cm
3;;0;hout, lijm metaal, verfstof, beits;37;17;8;L37xB17xH8
3;;0;hout, metaal, verfstof;37;19.5;8;L37xB19.5xH8cm
2;1e helft negentiende eeuw;0;hout, lijm, metaal, verfstof;30.5;24;8.6;L30.5xB24xH8.5
3;2e helft achttiende eeuw;0;hout, metaal, lijm, verfstof;36;18.5;7;L36xB18.5xH7
4;;0;hout, metaal, verfstof;50;25;9.5;L50xB25xH9.5cm
3;;0;hout, metaal, beits, houtsnijwerk;42;22;7.5;L42xB22xH7.5cm
